region,decade,id,cat_id,DNA_tissue,leaf_tissue,sampled?,extracted?,lab_id,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,successful?,institutionCode,catalogNumber,year,county,locality,decimalLatitude,decimalLongitude,notes,extr_tissue
VALY,1920s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1920s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1920s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1920s,,0,0,0,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,0,,,,,,
VALY,1930s,956927,RSA0191301,3 axillary buds,"yes, cauline w/ cauline morphology",,,,,,,,,,,1930,,,,,,
VALY,1930s,1368001,DAV310417,"4 axiallary buds, 1 lil leaf","yes, basal",y,y-N,26_009,40.5,79.8,1.83,2.51,y,,,1932,,,,,,
VALY,1930s,2061482,CHSC000533,"3 axillary bud, 1 little leaf","yes, basal ",y,y-N,26_025,49.6,575.9,2.13,2.39,,,,1935,,,,,,
VALY,1930s,3444193,UC596419,4 bud clusters,"yes, cauline with basal morphology",y,,#N/A,#N/A,#N/A,#N/A,#N/A,,,,1935,,,,,,
VALY,1930s,3262100,UC765025,4 bud clusters,"yes, basal",y,y-N,25_203,5.64,31.3,1.83,2.59,y!,,,1935,,,,,,
VALY,1930s,3335398,UC765016,3 bud clusters,"yes, basal",y,y-N,26_047,1.2,20.6,1.89,8.86,y,,,1935,,,,,,
VALY,1930s,3523645,JEPS53814,"4 bud clusters, 1 little leaf, extra buds","yes, basal",y,y-N,26_049,0.295,6.5,1.53,-1.97,n,,,1936,,,,,,
VALY,1940s,1068117,RSA0191141,"4 axiallary buds, 1 little leaf","yes, unknown but appears to have intermediate morphology",,,,,,,,,,,1941,,,,,,
