id,catalogNumber,institutionCode,specificEpithet,year,month,county,decimalLatitude,decimalLongitude,selected,nearest_id,nearest_km,cohort,sampled,nearest_sampled
469098,SD00062637,SD,sativus,2008,2,San Diego,33.33556,-117.49028,y,468973,6.550432026,new,n,y
469121,SD00062651,SD,sativus,2008,3,San Diego,33.3466,-117.4378,y,468973,6.868838836,new,n,y
469071,SD00062645,SD,sativus,2005,6,San Diego,33.2324,-117.154,y,468975,8.296145594,new,n,y
469099,SD00062633,SD,sativus,2006,7,San Diego,33.2492,-117.1386,y,468975,10.6480819,new,n,y
469051,SD00062708,SD,sativus,2005,4,San Diego,33.2625,-117.158,y,468975,10.95505071,new,n,y
469041,SD00062580,SD,sativus,2004,4,San Diego,33.2672,-117.1278,y,468975,12.84913143,new,n,y
469066,SD00062647,SD,sativus,2005,6,San Diego,32.5616,-117.1235,y,468983,3.449233996,new,n,y
469133,SD00062680,SD,sativus,2009,4,San Diego,32.8272,-117.01898,y,468984,6.398189047,new,n,y
469134,SD00062777,SD,sativus,2009,3,San Diego,32.85761,-116.95495,y,468984,6.990440185,new,n,y
469130,SD00062654,SD,sativus,2008,3,San Diego,32.86889,-116.96757,y,468984,8.221083061,new,n,y
469172,SD00062778,SD,sativus,2006,6,San Diego,32.86,-116.9178,y,468984,8.340505739,new,n,y
469039,SD00062763,SD,sativus,2003,4,San Diego,32.82361,-116.865,y,468984,9.66018775,new,n,y
469117,SD00062727,SD,sativus,2006,12,San Diego,32.80866,-116.85815,y,468984,9.881070399,new,n,y
469090,SD00062688,SD,sativus,2006,6,San Diego,32.8479,-116.8612,y,468984,11.15030258,new,n,y
469131,SD00062558,SD,raphanistrum,2008,5,San Diego,32.88194,-116.90083,y,468984,11.24303627,new,n,y
469060,SD00062748,SD,sativus,2005,2,San Diego,32.9374,-116.9842,y,468984,15.93605328,new,n,y
469035,SD00062765,SD,sativus,2004,3,San Diego,32.9253,-117.0539,y,468984,16.80928477,new,n,y
469057,SD00062750,SD,sativus,2005,4,San Diego,32.9283,-117.0519,y,468984,17.00329266,new,n,y
469141,SD00062773,SD,sativus,2011,6,San Diego,33.34861,-117.02778,y,468985,5.167856389,new,n,y
469142,SD00062772,SD,sativus,2011,6,San Diego,33.34861,-117.02778,y,468985,5.167856389,new,n,y
469124,SD00062787,SD,sativus,2008,3,San Diego,33.41278,-117.21639,y,468986,10.05722213,new,n,y
469155,SD00062770,SD,sativus,2014,5,San Diego,33.36119,-117.32249,y,468987,3.407312928,new,n,y
469153,SD00062703,SD,sativus,2014,4,San Diego,33.29219,-117.31972,y,468987,4.251711149,new,n,y
469122,SD00062582,SD,sativus,2009,4,San Diego,33.29185,-117.29161,y,468987,5.142049983,new,n,y
