"tissue_sheet_row","id_tissue","id_key","institutionCode","catalogNumber","cat_norm","year","specimen_id","institutionCode_specimen","locality","verbatimLocality","verbatimCoordinates","decimalLatitude","decimalLongitude","county","municipality","DNA tissue","leaf_tissue","notes"
69,"2318143",2318143,"CAS","74176","74176","1964",2318143,"CAS","Ca. 7.2 miles east of Alpine Lake Lodge, south of Ebbetts Pass Highway.",,,,,"Alpine County",,"1 axiallary bud, 2 little leaves","yes, basal","sample collected from pouch, duel sample - see entry with no leaf same "
71,"5569682",5569682,"CAS","684525","684525","1964",5569682,"CAS","Crow Canyon Road",,,,,"Contra Costa County",,"2 large axillary buds","yes, basal","glue on leaf tissue, visible glue on one axillary buds DNA"
72,"5504854",5504854,"CAS","684491","684491","1965",5504854,"CAS","Escondido, Mt. Isreal Road",,,,,"San Diego County",,"2 terminal bud cluster","yes, basal",
75,"5569672",5569672,"CAS","684515","684515","1966",5569672,"CAS","Niles",,,,,"Alameda County",,"4 axillary buds","yes, basal",
77,"2347205",2347205,"CAS","74217","74217","1967",2347205,"CAS","Border of salt marsh west of Ventura River estuary.",,,,,"Ventura County",,"2 terminal bud clusters, 1 axiallary bud","yes, basal",
79,"2272450",2272450,"CAS","74275","74275","1967",2272450,"CAS","White Wolf Grade, ca. 1 mile below the Tehachapi Freeway, Tehachapi Mountains.",,,,,"Kern County",,"2 terminal bud cluster","yes, basal","unsampled duplicate if extraction fails (74274)"
80,"2432397",2432397,"CAS","74187","74187","1968",2432397,"CAS","Sir Francis Drake Highway near site of new high school 2 miles east of golf course, San Geronimo Valley.",,,,,"Marin County",,"3 axillary buds","yes, basal",
82,"5504853",5504853,"CAS","684490","684490","1970",5504853,"CAS","Olema Marsh",,,,,"Marin County",,"3 axillary buds","yes, basal",
83,"5569854",5569854,"CAS","685182","685182","1970",5569854,"CAS","Half Moon Bay",,,,,"San Mateo County",,"2 terminal bud cluster","yes, basal",
84,"5697344",5697344,"CAS","684496","684496","1971",5697344,"CAS","Atrascedero Road, Los Altos Hills",,,,,"Santa Clara County",,"2 axillary bud, 1 terminal bud cluster","yes, basal",
89,"5504850",5504850,"CAS","684487","684487","1974",5504850,"CAS","McKinleyville, near Redwood Forest",,,,,"Humboldt County",,"4 axillary buds, 2 little leaves","yes, basal",
91,"2278606",2278606,"CAS","74203","74203","1978",2278606,"CAS","Sierra Nevada. 0.1 mile east of Fowler.",,,,,"Fresno County",,"1 large terminal bud cluster, 1 axially bud, 1 small leaf ","yes, basal",
94,"2423284",2423284,"CAS","74315","74315","1981",2423284,"CAS","Along La Porte Quincy Road, Pilot Peak.",,,,,"Plumas County",,"3 axillary buds","yes, basal","likely glue on tissue"
97,"2318818",2318818,"CAS","74200","74200","1986",2318818,"CAS","Pepperwood Ranch Natural Preserve, 3500 Franz Valley Road, Santa Rosa.",,"38°34'N, 122°42'W",38.5666666667,-122.7,"Sonoma County",,"4 axillary buds","yes, basal",
98,"2387538",2387538,"CAS","58407","58407","1992",2387538,"CAS","Pasture ca. 2 km NW of Day.",,"41°14'24""N, 121°24'49""W",41.24,-121.4136111111,"Modoc County",,"3 axillary buds","yes, basal","extra DNA tissue, extra leaf tissue"
